Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Year,Source_File,Industry/ Vertical,Sub-Vertical,Invest-mentType,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Unnamed: 0,Founding Date,Founders,Investors,Investment Stage,0,1,2,3,4,5,6,7,8
,,Krimanshi,,,,,,,2020,Feb_2020.csv,,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,,,Agritech,Jodhpur,,,"$20,000",49.0,,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,,,,,,,,,,
,,NEETprep,,,,,,,2020,Feb_2020.csv,,Provides crash course for NEET preparation,,,Edtech,Delhi,,,Undisclosed,50.0,,Kapil Gupta,IndiaQuotient,,,,,,,,,,
,,Kuku FM,,,,,,,2020,Feb_2020.csv,,A podcast platform,,,Media,Mumbai,,,"$5,500,000",51.0,,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,Series A,,,,,,,,,
,,SuperMoney,,,,,,,2020,Feb_2020.csv,,Provides financial tools for effective business making,,,Fintech,Mumbai,,,"$1,000,000",52.0,2018.0,Nikhil Banerjee,Unitus Ventures.,Pre series A,,,,,,,,,
,,AlphaVector,,,,,,,2020,Feb_2020.csv,,It sells modern age bicycles named FROG,,,E tailor,Bangalore,,,Undisclosed,53.0,2015.0,Sachin Chopra,"Avaana Capital, Titan Capital",,,,,,,,,,
,,Fox Capital,,,,,,,2020,Feb_2020.csv,,Digital lending startup,,,Fintech,Jaipur,,,"$2,500,000",54.0,2019.0,Rakesh Sharma,Institutional Investors,,,,,,,,,,
,,Tribe Theory,,,,,,,2020,Feb_2020.csv,,An entrepreneur-focused hostel chain present in multiple locations across the world.,,,Accomodation,Bangalore,,,"$3,500,000",55.0,,Katie Russel and Daniel Wiegand,Tim Draper,,,,,,,,,,
,,Fleetx,,,,,,,2020,Feb_2020.csv,,Fleet management and predictive analytics platform,,,SaaS,,,,"$1,402,400",56.0,,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext,Series A,,,,,,,,,
,,Embibe,,,,,,,2020,Feb_2020.csv,,It provides AI-based data analytics to personalise learning outcomes,,,Edtech,Mumbai,,,"$12,618,300",57.0,,Aditi Avasthi,Reliance Industries Limited (RIL),,,,,,,,,,
,,Entri,,,,,,,2020,Feb_2020.csv,,It is a app that provides different types of learning content in local languages,,,Edtech,Kochi,,,"$1,400,000",58.0,2017.0,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,Seed Round,,,,,,,,,
,,Oye! Rickshaw,,,,,,,2020,Feb_2020.csv,,App-based electric rickshaw hailing service,,,E-mobility,,,,"$10,000,000",59.0,,Akash Deep,Chiratae Ventures,Series A,,,,,,,,,
,,Seal Professional,,,,,,,2020,Feb_2020.csv,,Trains students in managemnt and leadership skills and also helps in placement,,,Edtech,Bangalore,,,Undisclosed,60.0,2012.0,,Equanimity Ventures,Pre series A,,,,,,,,,
,,Sprinng Foods,,,,,,,2020,Feb_2020.csv,,Provides Gluten-free food,,,Food,Mumbai,,,Undisclosed,61.0,,Tarun Khanna,"Mistletoe, Info Edge Asia",,,,,,,,,,
,,1MG,,,,,,,2020,Feb_2020.csv,,Online pharmacy,,,Healthtech,Gurugram,,,"$9,900,000",62.0,2015.0,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Bill & Melinda Gates Foundation,,,,,,,,,,
,,Aagey,,,,,,,2020,Feb_2020.csv,,Provides financial assistance to MSMEs,,,Fintech,Bangalore,,,Undisclosed,63.0,,Akaash Shankar,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain",,,,,,,,,,
,,AdonMo,,,,,,,2020,Jan_2020.csv,,It is an online and outdoor advertising company,,,Ad-tech,Bangalore,,,"$3,000,000",0.0,2017.0,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial,,,,,,,,,,
,,RACEnergy,,,,,,,2020,Jan_2020.csv,,It builds electric vehicles and supporting infrastructure,,,E-mobility,,,,Undisclosed,1.0,2018.0,"Arun Sreyas, Gautham Maheswaran","GrowX ventures, Prophetic Ventures",Seed Round,,,,,,,,,
,,BharatPe,,,,,,,2020,Jan_2020.csv,,Digital payments platform,,,Fintech,Delhi,,,"$100,000,000",2.0,2018.0,Ashneer Grover,Coatue Management,,,,,,,,,,
,,Vogo,,,,,,,2020,Jan_2020.csv,,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,,,Automotive,Bangalore,,,"$35,000,000",3.0,2016.0,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,Series C,,,,,,,,,
,,Yolo,,,,,,,2020,Jan_2020.csv,,Intercity transportation startup,,,Transport,Gurugram,,,"$600,000",4.0,2019.0,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,Seed Round,,,,,,,,,
,,Unotech,,,,,,,2020,Jan_2020.csv,,It develops fully-customisable open source software,,,SaaS,Mumbai,,,"$2,000,000",5.0,2011.0,Vikash Jha,Manish Choksi,,,,,,,,,,
,,Zetwerk,,,,,,,2020,Jan_2020.csv,,B2B marketplace that connects manufacturing companies for industrial equipements,,,Marketplace,Bangalore,,,"$2,200,000",6.0,2018.0,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",InnoVen capital,,,,,,,,,,
,,WizKlub,,,,,,,2020,Jan_2020.csv,,Helps students solve problems at complex level,,,Edtech,Bangalore,,,"$982,530",7.0,2018.0,Amit Bansal,Incubate Fund India,Seed Funding,,,,,,,,,
,,Interviewbit,,,,,,,2020,Jan_2020.csv,,Platform that provides coding and interview preparation course by industry professionals from tech companies,,,Edtech,Pune,,,"$200,000,000",8.0,2014.0,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)",Series A,,,,,,,,,
,,MoneyTap,,,,,,,2020,Jan_2020.csv,,App-based consumer credit line that gives customers access to credit on tap.,,,Fintech,,,,"$70,185,200",9.0,2016.0,"Bala Parthasarathy, Anuj Kacker, Kunal Varma","Aquiline Technology Growth (ATG), RTP Global, Sequoia India",Series B,,,,,,,,,
,,Uniplatform Tech,,,,,,,2020,Jan_2020.csv,,Runs real estate SaaS platform MultiplyMyLeads.com.,,,SaaS,Delhi,,,Undisclosed,10.0,2015.0,"Rohit Manghnani, Amit K Jaiswal, Iccha Manghnani","Frontline Strategy Finds, SucSEED Venture Partners LLP",,,,,,,,,,
,,Bizongo,,,,,,,2020,Jan_2020.csv,,A B2B marketplace for packaging materials,,,Marketplace,Mumbai,,,"$30,000,000",11.0,2015.0,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq,Series C,,,,,,,,,
,,AppsFlyer,,,,,,,2020,Jan_2020.csv,,Mobile marketing analytics and attribution platform,,,SaaS,Bangalore,,,"$210,000,000",12.0,2011.0,"Oren Kaniel, Reshef Mann",General Atlantic,Series D,,,,,,,,,
,,Digit Insurance,,,,,,,2020,Jan_2020.csv,,General Insurance Company,,,Insurtech,Bangalore,,,"$84,000,000",13.0,,Kamesh Goyal,"A91 Partners, Faering Capital, TVS Capital",,,,,,,,,,
,,Livspace,,,,,,,2020,Jan_2020.csv,,It offers end-to-end home design experience for homeowners and home designers,,,Interior Design,Bangalore,,,"$60,000,000",14.0,2014.0,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment",Series D,,,,,,,,,
,,GetVantage,,,,,,,2020,Jan_2020.csv,,Revenue based finance provider,,,Fintech,Mumbai,,,Undisclosed,15.0,,Bhavik Vasa,"Samyakth Capital, Venture Catalysts",Seed round,,,,,,,,,
,,Konfinity,,,,,,,2020,Jan_2020.csv,,Provides online coding courses,,,Edtech,Noida,,,Undisclosed,16.0,2018.0,"Navratn Singh, Kamal Pandey",Angel investors,,,,,,,,,,
,,Pine Labs,,,,,,,2020,Jan_2020.csv,,Retail payment and hardware company,,,Fintech,Noida,,,Undisclosed,17.0,,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",Mastercard,,,,,,,,,,
,,Instoried,,,,,,,2020,Jan_2020.csv,,Augmented writing platform which improves customer interest and engagement.,,,SaaS,Delhi,,,Undisclosed,18.0,,Sharmin Ali,"SOSV, Chinaccelerator",,,,,,,,,,
,,Nupay,,,,,,,2020,Jan_2020.csv,,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts",,,Neo-banking,Haryana,,,Undisclosed,19.0,,"Neeraj Singh, Alok Arora",Venture Catalysts,,,,,,,,,,
,,Samosa Singh,,,,,,,2020,Jan_2020.csv,,Offers hygienic Indian Snacks,,,Food,Bangalore,,,"$2,700,000",20.0,2016.0,"Shikhar Veer Singh, Nidhi Singh",She Capital,Series A,,,,,,,,,
,,Crysta,,,,,,,2020,Jan_2020.csv,,Offers diagnostic and screening services with regular counselling and clinical data management,,,Healthtech,Delhi,,,"$1,403,400",21.0,2018.0,,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",Pre Series A,,,,,,,,,
,,Bounce,,,,,,,2020,Jan_2020.csv,,Offers a variety of bikes and scooters that can be rented on a subscription basis,,,Automotive and Rentals,Bangalore,,,"$105,000,000",22.0,2014.0,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",Series D,,,,,,,,,
,,Park+,,,,,,,2020,Jan_2020.csv,,It is engaged in bringing digitization in parking,,,Techonology,,,,"$11,000,000",23.0,,Amit Lakhotia,"Sequoia Capital, Matrix Partners India",,,,,,,,,,
,,Goodmylk,,,,,,,2020,Jan_2020.csv,,Provides Vegan dairy products,,,Dairy,Bangalore,,,"$400,000",24.0,2017.0,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",Seed Round,,,,,,,,,
,,Skylo,,,,,,,2020,Jan_2020.csv,,Provides affordable and ever present network that connects machines or sensors,,,IoT,,,,"$103,000,000",25.0,2017.0,Trivedi,SoftBank Group,Series B,,,,,,,,,
,,Tea Trunk,,,,,,,2020,Jan_2020.csv,,Global premium tea brand,,,Beverage,Goa,,,"$220,000",26.0,2013.0,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors,,,,,,,,,,
,,Zoomcar,,,,,,,2020,Jan_2020.csv,,A car rental service platform,,,Transport & Rentals,Bangalore,,,"$30,000,000",27.0,2013.0,"Greg Moran, David Back",Sony Innovation Fund,Series D,,,,,,,,,
,,Mera Cashier,,,,,,,2020,Jan_2020.csv,,App meant for small and micro businessmen to manage their transactions digitally,,,Fintech,Noida,,,"$250,000",28.0,2019.0,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",Seed Round,,,,,,,,,
,,Kristal AI,,,,,,,2020,Jan_2020.csv,,Provides Algorithm-based financial services,,,AI,,,,"$6,000,000",29.0,2016.0,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,Series A,,,,,,,,,
,,Invento Robotics,,,,,,,2020,Jan_2020.csv,,Known for Mitra Series of Robots,,,AI Robotics,,,,"$281,300",30.0,,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund",Seed round,,,,,,,,,
,,Sabse Sasta Dukaan,,,,,,,2020,Jan_2020.csv,,Online pharmacy dealing in medicines,,,Pharmaceutical,Kolkata,,,Undisclosed,31.0,2016.0,"Anish Agarwal, Anant Jain",Angel investors,,,,,,,,,,
,,Fitphilia,,,,,,,2020,Jan_2020.csv,,Provides IoT-enabled treadmill,,,Healthtech,Mumbai,,,Undisclosed,32.0,,Nirav Patil,Angel investors,,,,,,,,,,
,,Medicus,,,,,,,2020,Jan_2020.csv,,AI-based platform that explains and interprets blood tests and medical reports,,,Healthtech,Mumbai,,,"$12,700",33.0,,"Bhavesh Shah, Manav Shah",Angel investors,,,,,,,,,,
,,Monech,,,,,,,2020,Jan_2020.csv,,Automated platform which will help users to take their financial decisions,,,Fintech,Mumbai,,,"$12,700",34.0,,,Angel investors,Seed Round,,,,,,,,,
,,Teach Us,,,,,,,2020,Jan_2020.csv,,Educational portal which enables the students to access information related to education at one common platform,,,Edtech,,,,"$12,700",35.0,,,Angel investors,Seed Round,,,,,,,,,
,,Dealberg,,,,,,,2020,Jan_2020.csv,,Deals in office supplies,,,B2B marketplace,Bangalore,,,Undisclosed,36.0,,Abhishek Emmanuel,Undisclosed,,,,,,,,,,
,,Phenom People,,,,,,,2020,Jan_2020.csv,,It redefines the means to search for a job and recruit top talent,,,HR tech,,,,"$30,000,000",37.0,2010.0,Mahe Bayireddi,WestBridge Capital,Series C,,,,,,,,,
,,Extra Edge,,,,,,,2020,Jan_2020.csv,,Admission Marketing Automation software for the education industry,,,Edtech,Pune,,,"$700,000",38.0,,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network",Pre series A,,,,,,,,,
,,Capital Quotient,,,,,,,2020,Jan_2020.csv,,Investment advisor,,,Fintech,Bangalore,,,"$600,000",39.0,2016.0,Sousthav Chakrabarty,Undisclosed,,,,,,,,,,
,,Karfa,,,,,,,2020,Jan_2020.csv,,It sells products crafted by artisans,,,Ecommerce,Delhi,,,"$25,000",40.0,,Kartikeya Goel,Undisclosed,Seed Round,,,,,,,,,
,,Bounce,,,,,,,2020,Jan_2020.csv,,Offers a variety of bikes and scooters that can be rented on a subscription basis,,,Automotive and Rentals,Bangalore,,,"$97,500,000",41.0,2014.0,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",Series D,,,,,,,,,
,,Zinier,,,,,,,2020,Jan_2020.csv,,Provides intelligent field service automation,,,Automation,Bangalore,,,"$90,000,000",42.0,2015.0,Arka Dhar,ICONIQ Capital,Series C,,,,,,,,,
,,ProEves,,,,,,,2020,Jan_2020.csv,,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",,,Preschool Daycare,Delhi,,,"$507,000",43.0,2016.0,"Divya Agarwal, Ketika Kapoor",1Crowd,Seed Round,,,,,,,,,
,,Aesthetic Nutrition,,,,,,,2020,Jan_2020.csv,,Markets and sells chewable dietary supplements,,,Food diet,,,,Undisclosed,44.0,2018.0,Divij Bajaj,DSG Consumer Partners,Pre Series A,,,,,,,,,
,,Ninjacart,,,,,,,2020,Jan_2020.csv,,Online grocery delivery platform,,,B2B Agritech,Bangalore,,,"$10,000,000",45.0,2015.0,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3",Series C,,,,,,,,,
,,TechnifyBiz,,,,,,,2020,Jan_2020.csv,,Online marketplace for non-perishable food items,,,B2B Agritech,,,,"$2,000,000",46.0,2017.0,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund",Seed Round,,,,,,,,,
,,Wysh,,,,,,,2020,Jan_2020.csv,,Celebrity engagement and wishing platform,,,E-connect,Hyderabad,,,"$2,000,000",47.0,2019.0,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,Series A,,,,,,,,,
,,Keito,,,,,,,2020,Jan_2020.csv,,Enterprise productivity startup,,,AI,Pune,,,"$160,000",48.0,2016.0,Amal PS,Suma Soft Pvt Ltd,Seed Round,,,,,,,,,
,,Klub,,,,,,,2020,Jan_2020.csv,,Provides growth financing to high-affinity brands,,,Fintech,,,,"$2,000,000",49.0,2019.0,"Anurakt Jain, Ishita Verma",Sequoia Surge,Pre seed round,,,,,,,,,
,,Aadhar,,,,,,,2020,Jan_2020.csv,,Ayurveda wellness and lifestyle consumer brand,,,Ecommerce,Mumbai,,,Undisclosed,50.0,2017.0,,"Sprout Venture Partners, JITO Angel Network, LetsVenture",Seed Round,,,,,,,,,
,,IncubateHub,,,,,,,2020,Jan_2020.csv,,Provides platform for Corporates to connect establish brand presence among innovation community,,,Tech hub,Bengaluru,,,Undisclosed,51.0,,Rajiv Mukherjee,Venture Catalysts,,,,,,,,,,
,,Rage Coffee,,,,,,,2020,Jan_2020.csv,,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,,,FMCG,Delhi,,,Undisclosed,52.0,,Bharat Sethi,Refex Capital,,,,,,,,,,
,,Skilancer,,,,,,,2020,Jan_2020.csv,,Solar module cleaning system [MCS] providers,,,Technology,Noida,,,Undisclosed,53.0,,Neeraj Kumar,Venture Catalysts,,,,,,,,,,
,,Harappa Education,,,,,,,2020,Jan_2020.csv,,Provides online courses on foundational skills,,,Edtech,New Delhi,,,Undisclosed,54.0,,Pramath Raj Sinha,James Murdoch-led Lupa Systems,,,,,,,,,,
,,Axio Biosolutions,,,,,,,2020,Jan_2020.csv,,Medical device manufacturer,,,Medtech,Bangalore,,,"$5,200,000",55.0,,Leo Mavely,Omidyar Network India,Series B,,,,,,,,,
,,Techbooze,,,,,,,2020,Jan_2020.csv,,"Business Development, Consulting and Funding facilitator for Startups Enterprise",,,Consultancy,,,,"$15,000,000",56.0,,Mr. Subhashis Kar,Space Capital,Series A,,,,,,,,,
,,PayMart,,,,,,,2020,Jan_2020.csv,,Provides cardless cash withdrawals through small merchants shops,,,Fintech,Chandigarh,,,Undisclosed,57.0,2015.0,Amit Narang,"IIM Ahmedabad’s incubator (CIIE.CO),Chandigarh Angels Network",,,,,,,,,,
,,Testbook,,,,,,,2020,Jan_2020.csv,,Helps students prepare online for competitive exams,,,Edtech,,,,"$8,400,000",58.0,,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar,Series B,,,,,,,,,
,,FabAlley,,,,,,,2020,Jan_2020.csv,,Online fashion store,,,Ecommerce,Noida,,,"$1,100,000",59.0,2012.0,"Tanvi Malik, Shivani Poddar.",Trifecta Capital,,,,,,,,,,
,,HaikuJAM,,,,,,,2020,Jan_2020.csv,,Creative writing mobile platform,,,,,,,"$3,400,000",60.0,,Neer Sharma,"Lightbox. Social Capital, Dunce Capital",,,,,,,,,,
,,Mamaearth,,,,,,,2020,Jan_2020.csv,,Online baby and mother care brand,,,Ecommerce,,,,"$18,300,000",61.0,,"Ghazal Alagh, Varun Alagh",Sequoia India,Series A,,,,,,,,,
,,Rentomojo,,,,,,,2020,Jan_2020.csv,,"Furniture, electronics, and appliance-centric consumer leasing platform",,,Rental,,,,"$2,000,000",62.0,2014.0,Geetansh Bamania,GMO Payment Gateway,,,,,,,,,,
,,Zomato,,,,,,,2020,Jan_2020.csv,,Online food delivery and restaurant discovery platform,,,Foodtech,,,,"$150,000,000",63.0,,Deepinder Goyal,Ant Financial,,,,,,,,,,
,,Byju,,,,,,,2020,Jan_2020.csv,,Provides online learning classes,,,Edtech,,,,"$200,000,000",64.0,2011.0,Byju Raveendran,Tiger Global,,,,,,,,,,
,,Generico,,,,,,,2020,Jan_2020.csv,,Generic medicine focussed retail chain,,,Pharmacy,Mumbai,,,"$1,400,000",65.0,,Siddharth Gadia,Alteria Capital,,,,,,,,,,
,,HighRadius,,,,,,,2020,Jan_2020.csv,,"An AI-based platform, to automate accounts receivables and treasury processes.",,,Saas,Hyderabad,,,"$125,000,000",66.0,2016.0,Sashi Narahari,ICONIQ Capital,Series B,,,,,,,,,
,,Chai Kings,,,,,,,2020,Jan_2020.csv,,It offers a range of tea in various flavour,,,Beverage,Chennai,,,"$1,000,000",67.0,,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA),,,,,,,,,,
,,Rivigo,,,,,,,2020,Jan_2020.csv,,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",,,Logistics,Gurugram,,,"$3,400,000",68.0,2014.0,"Deepak Garg, Gazal Kalra",Trifecta Capital,Series F,,,,,,,,,
,,BuildPan,,,,,,,2020,Jan_2020.csv,,"It helps developers to test, integrate and deploy apps",,,SaaS,Indore,,,Undisclosed,69.0,2019.0,"Sonal Khandelwal, Vaibhav Tiwari","HNIs in India, Japan, and the US",Seed round,,,,,,,,,
,,Shiksha,,,,,,,2020,Jan_2020.csv,,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,,,Edtech,,,,"$181,000",70.0,2008.0,Kanav Sachdeva,Mumbai Angels Network,,,,,,,,,,
,,Super Surfaces,,,,,,,2020,Jan_2020.csv,,A design solution based company,,,Deisgning,Hyderabad,,,"$500,000",71.0,,Kumar Varma,Vishnu Reddy,Series A,,,,,,,,,
,,Quicko,,,,,,,2020,Jan_2020.csv,,Online tax planning and filing platform,,,Taxation,Ahmedabad,,,"$280,000",72.0,,Vishvajit Sonagara,"Zerodha fintech fund, Rainmatter",,,,,,,,,,
,,Satin Creditcare,,,,,,,2020,Jan_2020.csv,,A micro finance company,,,Fintech,Gurgaon,,,"$15,000,000",73.0,,,Austrian Bank,,,,,,,,,,
,,XpressBees,,,,,,,2020,Jan_2020.csv,,Provides end to end supply chain solutions,,,Logistics,,,,"$10,000,000",74.0,2015.0,"Supam Maheshwari, Amitava Saha",Alibaba,,,,,,,,,,
,,FarmERP,,,,,,,2020,Jan_2020.csv,,Smart agriculture management ERP software platform,,,Agritech,Pune,,,Undisclosed,75.0,2001.0,"Santosh Shinde, Sanjay Borkar",TechnoGen,Series A,,,,,,,,,
,,Wealth Bucket,,,,,,,2020,Jan_2020.csv,,An online platform for mutual fund investments,,,Fintech,,,,"$3,000,000",76.0,2018.0,"Himanshu Jain, Pulkit Jain","NorthStar, Vinod Khatumal",,,,,,,,,,
,,GoMechanic,,,,,,,2020,Jan_2020.csv,,Find automobile repair and maintenance service providers,,,Automobile Technology,Delhi,,,"$14,700,000",77.0,2016.0,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners",Series B,,,,,,,,,
,,Fashor,,,,,,,2020,Jan_2020.csv,,Women’s fashion and apparel,,,Fashion,Chennai,,,"$1,000,000",78.0,2017.0,"Vikram Kankaria, Priyanka Kankaria",Sprout venture partners,Pre series A,,,,,,,,,
,,Leverage Edu,,,,,,,2020,Jan_2020.csv,,AI enabled marketplace that provides career guidance,,,Edtech,Delhi,,,"$1,500,000",79.0,,Akshay Chaturvedi,"DSG Consumer Partners, Blume Ventures",,,,,,,,,,
,,Purplle,,,,,,,2020,Jan_2020.csv,,Online makeup and beauty products retailer,,,Cosmetics,Mumbai,,,"$8,000,000",80.0,2012.0,"Manish Taneja, Rahul Dash",Verlinvest,,,,,,,,,,
,,Shuttl,,,,,,,2020,Jan_2020.csv,,App based bus aggregator serice,,,Transport,Delhi,,,"$8,043,000",81.0,2015.0,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.,Series C,,,,,,,,,
,,Pando,,,,,,,2020,Jan_2020.csv,,Networked logistics management software,,,Logitech,Chennai,,,"$9,000,000",82.0,2017.0,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures,Series A,,,,,,,,,
,,Rebel Foods,,,,,,,2020,Jul_2020.csv,,Cloud kitchen platform,,,Food tech,Mumbai,,,"$26,500,000",0.0,2011.0,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,Series E2,,,,,,,,,
,,Hevo,,,,,,,2020,Jul_2020.csv,,Data pipeline startup,,,Tech,Bangalore,,,"$8,000,000",1.0,2017.0,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",Series A,,,,,,,,,
,,BigSpoon Foods,,,,,,,2020,Jul_2020.csv,,Cloud kitchen startup,,,Foodtech,Ahmedabad,,,"$2,000,000",2.0,2019.0,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",Pre series A,,,,,,,,,
,,Chingari,,,,,,,2020,Jul_2020.csv,,Homegrown short video platform,,,Media,Bangalore,,,"$1,000,000",3.0,,Sumit Ghosh,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",Seed Round,,,,,,,,,
,,ShareChat,,,,,,,2020,Jul_2020.csv,,Indian social network platform,,,Media,Bangalore,,,"$351,000",4.0,2015.0,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda",,,,,,,,,,
,,DatStop,,,,,,,2020,Jul_2020.csv,,It offers urban social space,,,Hospitality,Delhi,,,Undisclosed,5.0,,Dhruvin Shah,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",,,,,,,,,,
,,IPHM Services,,,,,,,2020,Jul_2020.csv,,It helps design programs and workshops for the psychological well-being of individuals,,,Mental Health,Mumbai,,,Undisclosed,6.0,,Dr. Sachin Bhavsar,Indian Angel Fund,Seed Round,,,,,,,,,
,,Wellcure,,,,,,,2020,Jul_2020.csv,,It caters to all health and wellness needs,,,Healthtech,Gurugram,,,"$200,000",7.0,,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur",Inflection Point Ventures,,,,,,,,,,
,,VilCart,,,,,,,2020,Jul_2020.csv,,"Retail industry in rural India through technology, supply chain, and logistics facilities.",,,Ecommerce,Bangalore,,,Undisclosed,8.0,2018.0,"Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",Bridge Round,,,,,,,,,
,,Firescore,,,,,,,2020,Jul_2020.csv,,Game development studio,,,Gaming,Mumbai,,,"$500,000",9.0,,"Karan Khairajani, Surojit Roy",Crazy Labs,,,,,,,,,,
,,BulBul,,,,,,,2020,Jul_2020.csv,,A video and livestream led commerce platform that makes online shopping engaging,,,Social commerce,Gurgaon,,,"$ 8,700,000",10.0,2018.0,"Sachin Bhatia, Atit Jain",Info Edge,,,,,,,,,,
,,Toppr,,,,,,,2020,Jul_2020.csv,,It provides AI-based after school learning app for K12,,,Edtech,Mumbai,,,"$46,761,000",11.0,2013.0,Zishaan Hayath,Foundation Holdings,Series D,,,,,,,,,
,,Pickright Technologies,,,,,,,2020,Jul_2020.csv,,Marketplace for stock market investors and advisors,,,Fintech,Bangalore,,,"$175,000",12.0,2019.0,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",Seed Round,,,,,,,,,
,,Muse Wearables,,,,,,,2020,Jul_2020.csv,,It sells the world’s first payment-enabled hybrid smartwatches,,,Tech,Chennai,,,"$3,000,000",13.0,2018.0,"K.L.N Sai Prasanth, Yathindra Ajay K.A, K. Prathyusha",Dr. Bhaskar Rao Bollineni,,,,,,,,,,
,,SATYA Microcapital,,,,,,,2020,Jul_2020.csv,,Microfinance company that offers collateral-free credit to micro enterprises,,,Fintech,Delhi,,,"9.600,000",14.0,1995.0,Vivek Tiwari,BlueOrchard Finance Limited,,,,,,,,,,
,,WYN Studio,,,,,,,2020,Jul_2020.csv,,It creates video content and podcasts,,,Media,Gurugram,,,Undisclosed,15.0,,"Bijay Gautam, Souniya Khurana",India Angel Fund,Seed Round,,,,,,,,,
,,Fourth Partner Energy,,,,,,,2020,Jul_2020.csv,,Largest startup in the distributed solar sector,,,Solar Solution,Bangalore,,,"$15,000,000",16.0,2010.0,Saif Dhorajiwala,ResponsAbility Investments AG,,,,,,,,,,
